id,address,docks_in_service,latitude,longitude,station_name,total_docks,num_trips_to,num_trips_from
377,Kedzie Ave & Lake St,19,41.884603285,-87.706303744,Kedzie Ave & Lake St,19,1009,948
378,California Ave & Lake St,15,41.884453957,-87.696298137,California Ave & Lake St,15,807,768
381,Western Ave & Monroe St,15,41.879787709,-87.686112808,Western Ave & Monroe St,15,1368,1208
382,Western Ave & Congress Pkwy,19,41.874748851,-87.686445276,Western Ave & Congress Pkwy,19,1506,1545
383,Ashland Ave & Harrison St,23,41.874293,-87.667284,Ashland Ave & Harrison St,23,4578,4770
384,Halsted St & 51st St,11,41.80183164,-87.645213904,Halsted St & 51st St,11,31,31
385,Princeton Ave & Garfield Blvd,11,41.794982,-87.633124,Princeton Ave & Garfield Blvd,11,273,374
386,Halsted St & 56th St,11,41.792929646,-87.644990057,Halsted St & 56th St,11,141,154
388,Halsted St & 63rd St,15,41.779381142,-87.644620815,Halsted St & 63rd St,15,227,226
390,Wentworth Ave & 63rd St,11,41.780079633,-87.629746305,Wentworth Ave & 63rd St,11,111,136
391,Halsted St & 69th St,11,41.76906172,-87.644613578,Halsted St & 69th St,11,80,64
392,Perry Ave & 69th St,11,41.76929309,-87.628195929,Perry Ave & 69th St,11,49,61
393,Calumet Ave & 71st St,11,41.765508006,-87.616917925,Calumet Ave & 71st St,11,25,26
394,Clark St & 9th St (AMLI),15,41.870816,-87.631246,Clark St & 9th St (AMLI),15,4842,4783
395,Jeffery Blvd & 76th St,11,41.757120068,-87.575839359,Jeffery Blvd & 76th St,11,126,132
396,Yates Blvd & 75th St,11,41.758768,-87.56644,Yates Blvd & 75th St,11,96,95
397,Saginaw Ave & Exchange Ave,11,41.758745837,-87.560114781,Saginaw Ave & Exchange Ave,11,285,269
398,Rainbow Beach,15,41.757871448,-87.54938625,Rainbow Beach,15,141,127
399,South Shore Dr & 74th St,11,41.76218896,-87.55927465,South Shore Dr & 74th St,11,347,346
400,Cottage Grove Ave & 71st St,11,41.765719037,-87.604959713,Cottage Grove Ave & 71st St,11,100,97
401,Shields Ave & 28th Pl,11,41.842733,-87.635491,Shields Ave & 28th Pl,11,1194,1206
402,Shields Ave & 31st St,15,41.838464,-87.635406,Shields Ave & 31st St,15,1812,1875
403,Wentworth Ave & 33rd St,15,41.834529886,-87.631822981,Wentworth Ave & 33rd St,15,1482,1375
405,Wentworth Ave & 35th St,15,41.830777,-87.632504,Wentworth Ave & 35th St,15,1652,1811
406,Lake Park Ave & 35th St,19,41.831274235,-87.608799195,Lake Park Ave & 35th St,19,2694,2753
407,State St & Pershing Rd,11,41.823015238,-87.626568018,State St & Pershing Rd,11,80,78
408,Union Ave & Root St,11,41.819102,-87.643278,Union Ave & Root St,11,210,183
409,Shields Ave & 43rd St,11,41.816207679,-87.63481935,Shields Ave & 43rd St,11,28,24
410,Prairie Ave & 43rd St,14,41.816658893,-87.619412462,Prairie Ave & 43rd St,15,332,351
411,Halsted St & 47th Pl,11,41.808133915,-87.645616554,Halsted St & 47th Pl,11,319,311
412,Princeton Ave & 47th St,11,41.809317709,-87.633449288,Princeton Ave & 47th St,11,144,278
413,Woodlawn Ave & Lake Park Ave,15,41.81409271,-87.597005148,Woodlawn Ave & Lake Park Ave,15,1117,1021
414,Canal St & Taylor St,15,41.870257,-87.639474,Canal St & Taylor St,15,6740,7099
415,Calumet Ave & 51st St,15,41.802294651,-87.61805358,Calumet Ave & 51st St,15,399,414
416,Dorchester Ave & 49th St,15,41.805772,-87.592464,Dorchester Ave & 49th St,15,684,765
417,Cornell Ave & Hyde Park Blvd,18,41.802406,-87.586924,Cornell Ave & Hyde Park Blvd,19,4969,5316
418,Ellis Ave & 53rd St,11,41.799336263,-87.600958115,Ellis Ave & 53rd St,11,3534,3640
419,Lake Park Ave & 53rd St,15,41.799494294,-87.586449896,Lake Park Ave & 53rd St,15,3934,3882
420,Ellis Ave & 55th St,19,41.794300621,-87.601449773,Ellis Ave & 55th St,19,5512,5548
421,MLK Jr Dr & 56th St (*),11,41.793429457,-87.615853262,MLK Jr Dr & 56th St (*),12,212,212
422,DuSable Museum,15,41.791568011,-87.607852177,DuSable Museum,15,907,991
423,Off Street,27,41.791478,-87.599861,University Ave & 57th St,27,9959,9542
424,Museum of Science and Industry,27,41.79172821,-87.583945009,Museum of Science and Industry,27,3708,3799
425,Harper Ave & 59th St,15,41.787942813,-87.58831517,Harper Ave & 59th St,15,1702,1968
426,Ellis Ave & 60th St,19,41.785097146,-87.601072761,Ellis Ave & 60th St,19,5002,5117
427,Cottage Grove Ave & 63rd St,18,41.780599015,-87.606112388,Cottage Grove Ave & 63rd St,19,589,645
428,Dorchester Ave & 63rd St,15,41.780405646,-87.591415989,Dorchester Ave & 63rd St,15,436,456
429,Cottage Grove Ave & 67th St,10,41.773720952,-87.60563486,Cottage Grove Ave & 67th St,11,195,184
430,MLK Jr Dr & 63rd St,14,41.780080637,-87.615942857,MLK Jr Dr & 63rd St,15,79,73
431,Eberhart Ave & 61st St,11,41.784141693,-87.61330783,Eberhart Ave & 61st St,11,157,137
432,Clark St & Lunt Ave,19,42.009074,-87.67419,Clark St & Lunt Ave,19,3060,3030
433,Kedzie Ave & Harrison St,11,41.873599675,-87.704870749,Kedzie Ave & Harrison St,11,172,190
434,Ogden Ave & Roosevelt Rd,19,41.866501483,-87.68469707,Ogden Ave & Roosevelt Rd,19,2388,2418
435,Kedzie Ave & Roosevelt Rd,15,41.866492782,-87.706496176,Kedzie Ave & Roosevelt Rd,15,242,283
436,Fairfield Ave & Roosevelt Rd,15,41.866624,-87.694521,Fairfield Ave & Roosevelt Rd,15,503,515
437,Washtenaw Ave & Ogden Ave (*),20,41.861894,-87.693511,Washtenaw Ave & Ogden Ave (*),20,739,646
438,Central Park Ave & Ogden Ave,15,41.854204313,-87.715405838,Central Park Ave & Ogden Ave,15,153,192
439,Kedzie Ave & 21st St,11,41.853533632,-87.705073032,Kedzie Ave & 21st St,11,247,332
440,Lawndale Ave & 23rd St,10,41.849881946,-87.717000385,Lawndale Ave & 23rd St,11,55,45
441,Kedzie Ave & 24th St,10,41.848190945,-87.705413746,Kedzie Ave & 24th St,11,82,71
442,California Ave & 23rd Pl,15,41.849109692,-87.695139807,California Ave & 23rd Pl,15,636,589
443,Millard Ave & 26th St,11,41.844566849,-87.715910308,Millard Ave & 26th St,11,297,206
444,Albany Ave & 26th St,11,41.844475014,-87.702013013,Albany Ave & 26th St,11,162,146
445,California Ave & 26th St,11,41.844040031,-87.695295923,California Ave & 26th St,11,198,240
446,Western Ave & 28th St,11,41.841517708,-87.685131441,Western Ave & 28th St,11,157,159
447,NA5,15,42.007971923,-87.665502394,Glenwood Ave & Morse Ave,15,4095,3784
448,Warren Park East,15,42.004549622,-87.680666145,Warren Park East,15,623,621
449,Clark St & Columbia Ave,14,42.004450629,-87.672402405,Clark St & Columbia Ave,15,1711,1830
450,Warren Park West,15,42.001785,-87.688829,Warren Park West,15,696,512
451,Sheridan Rd & Loyola Ave,15,42.00104378,-87.661198243,Sheridan Rd & Loyola Ave,15,3765,3704
452,Western Ave & Granville Ave,15,41.994161369,-87.689438282,Western Ave & Granville Ave,15,759,690
453,Clark St & Schreiber Ave,15,41.999251822,-87.671377339,Clark St & Schreiber Ave,15,1660,1553
454,Broadway & Granville Ave,13,41.994779688,-87.660284535,Broadway & Granville Ave,15,4514,4197
455,Maplewood Ave & Peterson Ave,15,41.990236029,-87.69336964,Maplewood Ave & Peterson Ave,15,541,514
456,2112 W Peterson Ave,15,41.991178,-87.683593,2112 W Peterson Ave,15,539,562
457,Clark St & Elmdale Ave,19,41.99089375,-87.669583398,Clark St & Elmdale Ave,19,2307,2431
458,Broadway & Thorndale Ave,19,41.989742511,-87.660140621,Broadway & Thorndale Ave,19,4256,3720
459,Lakefront Trail & Bryn Mawr Ave,18,41.984036696,-87.652310469,Lakefront Trail & Bryn Mawr Ave,19,12108,11787
460,Clark St & Bryn Mawr Ave,15,41.983593,-87.669154,Clark St & Bryn Mawr Ave,15,4475,4232
461,Broadway & Ridge Ave,15,41.984044611,-87.660273829,Broadway & Ridge Ave,15,4108,4075
462,Winchester (Ravenswood) Ave & Balmoral Ave,15,41.979762,-87.67753,Winchester (Ravenswood) Ave & Balmoral Ave,15,2643,2521
463,Clark St & Berwyn Ave,18,41.977996654,-87.668047105,Clark St & Berwyn Ave,19,7155,6740
464,Damen Ave & Foster Ave,15,41.975614805,-87.679459039,Damen Ave & Foster Ave,15,3682,3647
465,Marine Dr & Ainslie St,23,41.9716,-87.650154,Marine Dr & Ainslie St,23,4961,4703
466,Ridge Blvd & Touhy Ave,14,42.012132277,-87.682912644,Ridge Blvd & Touhy Ave,15,580,590
467,Western Ave & Lunt Ave,15,42.008594397,-87.690492239,Western Ave & Lunt Ave,15,715,720
468,Budlong Woods Library,15,41.983664709,-87.696422561,Budlong Woods Library,15,648,616
469,St. Louis Ave & Balmoral Ave,15,41.980394235,-87.716114961,St. Louis Ave & Balmoral Ave,15,888,955
470,Kedzie Ave & Foster Ave,15,41.975672,-87.709261,Kedzie Ave & Foster Ave,15,842,850
471,Francisco Ave & Foster Ave,15,41.975632725,-87.701419439,Francisco Ave & Foster Ave,15,1818,1731
472,Lincoln Ave & Winona St,15,41.974911297,-87.692502559,Lincoln Ave & Winona St,15,1378,1462
474,Christiana Ave & Lawrence Ave,15,41.968354494,-87.711830667,Christiana Ave & Lawrence Ave,15,1298,1266
475,Washtenaw Ave & Lawrence Ave,15,41.968987,-87.696027,Washtenaw Ave & Lawrence Ave,15,1499,1513
476,Kedzie Ave & Leland Ave,15,41.966686362,-87.708051981,Kedzie Ave & Leland Ave,15,1189,1156
477,Manor Ave & Leland Ave,11,41.966317529,-87.701082677,Manor Ave & Leland Ave,11,1164,1012
478,Rockwell St & Eastwood Ave,15,41.96590014,-87.693638494,Rockwell St & Eastwood Ave,15,2977,2443
479,Drake Ave & Montrose Ave,15,41.961154076,-87.716569073,Drake Ave & Montrose Ave,15,1432,1525
480,Albany Ave & Montrose Ave,15,41.961041,-87.705866,Albany Ave & Montrose Ave,15,1222,1092
481,California Ave & Montrose Ave,15,41.961068,-87.695439,California Ave & Montrose Ave,15,1308,1131
482,Campbell Ave & Montrose Ave,15,41.961525933,-87.691165041,Campbell Ave & Montrose Ave,15,2395,2384
483,Avondale Ave & Irving Park Rd,18,41.953393,-87.732002,Avondale Ave & Irving Park Rd,19,1333,1435
484,Monticello Ave & Irving Park Rd,14,41.954004839,-87.71912818,Monticello Ave & Irving Park Rd,15,1280,1242
485,Sawyer Ave & Irving Park Rd,15,41.953586179,-87.7093108,Sawyer Ave & Irving Park Rd,15,1046,1047
486,Oakley Ave & Irving Park Rd,15,41.954340852,-87.686079624,Oakley Ave & Irving Park Rd,15,2294,2154
487,California Ave & Byron St,18,41.952162193,-87.698051113,California Ave & Byron St,19,1319,1131
488,Pulaski Rd & Eddy St,10,41.945636441,-87.727736814,Pulaski Rd & Eddy St,11,438,360
489,Central Park Ave & Addison St,14,41.947326,-87.717582,Drake Ave & Addison St,15,1311,1521
490,Troy St & Elston Ave,13,41.945243568,-87.706649901,Troy St & Elston Ave,15,2122,1920
491,Talman Ave & Addison St,15,41.946635831,-87.694614758,Talman Ave & Addison St,15,2239,2092
492,Leavitt St & Addison St,14,41.946655,-87.683359,Leavitt St & Addison St,15,2129,1972
